car,peer_median,peer_p90,peer_positive_fraction,error_median,error_p90,relative_error,ambient_gap,indoor_iqr,file_id,faulty
01,0.0,1.75,0.1266804550155119,0.0,4.5,0.25,-5.0,1.5,acv_case_01.xlsx,1
02,0.0,0.5,0.01707650273224044,-0.5,1.5,0.0,-4.5,2.0,acv_case_01.xlsx,0
03,0.0,0.5,0.0029030054644808745,-0.5,1.0,0.0,-5.5,1.5,acv_case_01.xlsx,0
04,0.0,0.5,0.0006830601092896175,-0.5,1.0,0.0,-5.0,1.5,acv_case_01.xlsx,0
05,0.0,0.5,0.0005122950819672131,-0.5,0.5,0.0,-5.5,1.5,acv_case_01.xlsx,0
06,0.0,0.5,0.0008538251366120218,-0.5,0.5,0.0,-5.5,1.5,acv_case_01.xlsx,0
07,0.0,0.5,0.0010245901639344263,-0.5,0.5,0.0,-5.0,1.5,acv_case_01.xlsx,0
08,0.0,0.5,0.005122950819672131,-0.5,0.5,0.0,-4.5,1.0,acv_case_01.xlsx,0
01,0.0,0.5,0.010010855144132191,0.0,1.0,0.0,-8.5,1.5,acv_case_02.xlsx,0
02,0.0,1.0,0.05693907156673114,0.5,1.5,0.0,-8.5,1.0,acv_case_02.xlsx,1
03,0.0,0.5,0.01712907117008444,0.5,1.5,0.0,-9.0,1.0,acv_case_02.xlsx,0
04,0.0,0.5,0.0015681544028950543,0.0,1.0,0.0,-9.0,1.5,acv_case_02.xlsx,0
05,0.0,0.25,0.0,0.0,1.0,0.0,-9.0,1.0,acv_case_02.xlsx,0
06,0.0,0.5,0.0004825090470446321,0.0,1.0,0.0,-9.0,1.0,acv_case_02.xlsx,0
07,0.0,0.5,0.0030156815440289505,0.0,1.0,0.0,-9.0,1.5,acv_case_02.xlsx,0
08,0.0,0.5,0.00036183813773971776,0.0,1.0,0.0,-8.5,1.0,acv_case_02.xlsx,0
01,0.0,0.5,0.0055656382335148216,0.5,1.5,0.0,-7.0,1.0,acv_case_03.xlsx,0
02,0.0,0.5,0.014117074358038214,0.5,1.5,0.0,-6.5,1.5,acv_case_03.xlsx,0
03,0.5,1.5,0.17818889970788704,0.5,2.5,0.5,-6.5,1.0,acv_case_03.xlsx,1
04,0.0,0.75,0.020929107186063393,0.0,1.5,0.0,-7.0,1.5,acv_case_03.xlsx,0
05,0.0,0.25,0.0,0.0,1.0,0.0,-7.0,1.0,acv_case_03.xlsx,0
06,0.0,0.25,0.0006084205402774398,0.0,1.0,0.0,-7.0,1.0,acv_case_03.xlsx,0
07,0.0,0.5,0.0002433682161109759,0.5,1.5,0.0,-7.0,1.0,acv_case_03.xlsx,0
08,0.0,0.5,0.013486261658684145,0.5,1.0,0.0,-7.5,1.0,acv_case_03.xlsx,0
01,0.0,0.5,0.01753958587088916,0.0,0.0,0.0,-8.0,1.0,acv_case_04.xlsx,1
02,0.0,0.5,0.03207065936142074,0.0,0.0,0.0,-8.0,2.0,acv_case_04.xlsx,0
03,0.0,0.0,0.0002368994598692315,0.0,0.0,0.0,-8.0,1.0,acv_case_04.xlsx,0
04,0.0,1.0,0.06713530854878279,0.0,1.0,0.0,-8.0,1.0,acv_case_04.xlsx,0
05,,,,,,,,,acv_case_04.xlsx,0
06,,,,,,,,,acv_case_04.xlsx,0
07,,,,,,,,,acv_case_04.xlsx,0
08,,,,,,,,,acv_case_04.xlsx,0
01,0.0,0.5,0.0,-0.5,0.0,0.0,0.8000000000000007,1.5,acv_case_05.xlsx,0
02,0.0,0.5,0.0017704812489940447,-0.5,0.0,0.0,,2.0,acv_case_05.xlsx,0
03,0.0,0.25,0.0,-0.5,0.0,0.0,,1.5,acv_case_05.xlsx,0
04,0.0,0.5,0.010797743755036261,-0.5,0.0,0.0,,2.0,acv_case_05.xlsx,1
05,-0.25,0.0,0.0,-0.5,0.0,-0.25,,2.5,acv_case_05.xlsx,0
06,0.0,0.25,0.0,-0.5,0.0,0.0,,1.5,acv_case_05.xlsx,0
07,0.0,0.5,0.0,-0.5,0.0,0.0,,1.5,acv_case_05.xlsx,0
08,0.0,0.0,0.0,-0.5,0.0,0.0,-1.1999999999999993,2.0,acv_case_05.xlsx,0
01,0.0,0.25,0.002268431001890359,0.0,2.5,0.0,-15.700000000000003,3.5,acv_case_06.xlsx,0
02,0.0,0.5,0.012139605462822459,0.0,3.5,0.0,,4.0,acv_case_06.xlsx,0
03,0.0,0.25,0.008722032612817596,0.0,3.5,0.0,,4.0,acv_case_06.xlsx,0
04,0.0,0.5,0.007578628268283441,0.0,3.5,0.0,,3.5,acv_case_06.xlsx,0
05,0.0,0.25,0.0011380880121396055,0.0,3.5,0.0,,4.0,acv_case_06.xlsx,0
06,1.5,2.0,0.5655799848369977,1.5,5.0,1.5,,3.0,acv_case_06.xlsx,1
07,-0.25,0.0,0.0011376564277588168,0.0,2.5,-0.25,,4.0,acv_case_06.xlsx,0
08,0.0,0.5,0.017430845017051912,0.5,4.0,0.0,-10.7,3.0,acv_case_06.xlsx,0
